upper_z,lower_z,posture_class
4.81,0.64,straight
4.73,0.64,straight
4.79,0.56,straight
4.80,0.66,straight
4.86,0.61,straight
4.84,0.61,straight
4.77,0.65,straight
4.74,0.58,straight
4.73,0.64,straight
4.70,0.61,straight
4.72,0.64,straight
4.75,0.60,straight
4.82,0.64,straight
4.85,0.61,straight
4.83,0.66,straight
4.76,0.62,straight
4.74,0.60,straight
4.76,0.58,straight
4.73,0.67,straight
4.76,0.61,straight
4.75,0.61,straight
4.79,0.61,straight
4.82,0.58,straight
4.76,0.59,straight
4.66,0.63,straight
4.66,0.61,straight
4.64,0.59,straight
4.68,0.61,straight
4.75,0.59,straight
4.77,0.62,straight
4.91,0.55,straight
4.84,0.59,straight
4.77,0.61,straight
4.77,0.59,straight
4.75,0.58,straight
4.75,0.57,straight
4.73,0.62,straight
4.71,0.59,straight
4.81,0.58,straight
4.69,0.56,straight
4.78,0.56,straight
4.77,0.66,straight
4.99,0.46,straight
4.88,0.59,straight
4.65,0.61,straight
4.75,0.53,straight
4.69,0.64,straight
4.69,0.54,straight
4.77,0.59,straight
4.86,0.56,straight
4.83,0.56,straight
4.79,0.57,straight
4.73,0.55,straight
4.71,0.55,straight
4.81,0.57,straight
4.73,0.52,straight
4.71,0.58,straight
4.72,0.56,straight
4.70,0.55,straight
4.69,0.53,straight
4.70,0.53,straight
4.78,0.55,straight
4.67,0.54,straight
4.82,0.46,straight
4.73,0.51,straight
4.63,0.55,straight
4.54,0.46,straight
4.53,0.49,straight
4.41,0.46,straight
4.40,0.40,straight
4.35,0.37,straight
4.33,0.37,straight
4.33,0.42,straight
4.37,0.39,straight
4.36,0.36,straight
4.37,0.37,straight
4.34,0.40,straight
4.33,0.35,straight
4.36,0.38,straight
4.33,0.33,straight
4.44,0.35,straight
4.27,0.39,straight
4.26,0.31,straight
4.26,0.37,straight
4.35,0.35,straight
4.43,0.33,straight
4.24,0.38,straight
4.20,0.31,straight
4.25,0.40,straight
4.20,0.36,straight
4.20,0.20,straight
4.23,0.23,straight
4.17,0.06,straight
4.21,0.17,straight
4.19,0.23,straight
4.02,0.28,straight
3.93,0.27,straight
3.74,0.11,straight
3.58,0.17,straight
3.47,0.26,straight
3.42,0.39,straight
3.35,0.32,straight
3.25,0.27,straight
2.96,0.26,straight
3.04,0.21,straight
2.83,0.23,straight
2.83,0.17,straight
2.81,0.17,straight
2.78,0.18,straight
2.95,0.16,straight
2.97,0.20,straight
2.91,0.18,straight
2.95,0.13,straight
3.01,0.16,straight
2.86,0.13,straight
2.79,0.13,straight
2.88,0.14,straight
2.84,0.07,straight
2.90,0.04,straight
2.92,0.03,straight
2.93,-0.01,straight
3.05,0.02,straight
3.04,-0.07,straight
3.09,-0.11,straight
3.09,-0.15,straight
3.15,-0.04,straight
3.15,-0.06,straight
3.15,-0.07,straight
3.09,-0.07,straight
3.07,-0.03,straight
3.10,-0.04,straight
3.13,-0.01,straight
3.12,-0.01,straight
3.14,0.01,straight
3.17,0.04,straight
3.28,-0.00,straight
3.22,0.01,straight
3.17,-0.02,straight
3.21,0.00,straight
3.21,-0.01,straight
3.25,0.03,straight
3.26,-0.00,straight
3.20,0.02,straight
3.18,-0.04,straight
3.20,0.02,straight
3.21,-0.01,straight
3.21,-0.05,straight
3.29,-0.04,straight
3.26,0.00,straight
3.22,-0.00,straight
3.13,-0.00,straight
3.22,-0.04,straight
3.20,0.03,straight
3.27,-0.01,straight
3.21,0.01,straight
3.22,-0.04,straight
3.21,0.03,straight
3.26,-0.06,straight
3.26,-0.02,straight
3.24,0.00,straight
3.24,0.00,straight
3.23,-0.02,straight
3.23,-0.01,straight
3.21,-0.04,straight
3.26,-0.00,straight
3.29,-0.03,straight
3.22,-0.02,straight
3.16,-0.05,straight
3.16,0.00,straight
3.17,-0.04,straight
3.17,-0.01,straight
3.12,0.03,straight
3.22,-0.04,straight
3.16,-0.01,straight
3.22,-0.02,straight
3.24,-0.02,straight
3.15,-0.09,straight
3.17,-0.03,straight
3.18,-0.06,straight
3.24,-0.06,straight
3.19,-0.03,straight
3.23,-0.07,straight
3.18,-0.08,straight
3.16,-0.08,straight
3.09,-0.03,straight
3.13,-0.04,straight
3.13,-0.08,straight
3.15,-0.04,straight
3.11,-0.06,straight
3.11,-0.05,straight
3.02,-0.09,straight
2.99,-0.06,straight
2.99,-0.04,straight
2.94,0.02,straight
3.44,0.06,straight
3.45,0.09,straight
3.45,0.08,straight
3.43,0.09,straight
3.43,0.05,straight
3.36,0.15,straight
3.40,0.06,straight
3.35,0.02,straight
3.36,0.09,straight
3.42,0.07,straight
3.44,0.05,straight
3.38,0.09,straight
3.41,0.05,straight
3.33,0.06,straight
3.31,0.08,straight
3.39,0.08,straight
3.42,0.05,straight
3.30,0.09,straight
3.37,0.11,straight
3.40,0.11,straight
3.35,0.04,straight
3.51,0.03,straight
3.49,0.12,straight
3.47,0.03,straight
3.38,0.09,straight
3.40,0.04,straight
3.38,0.08,straight
3.44,0.07,straight
3.39,0.03,straight
3.42,0.03,straight
3.43,0.07,straight
3.37,0.05,straight
3.42,0.05,straight
3.41,0.07,straight
3.53,0.08,straight
3.45,0.03,straight
3.48,0.03,straight
3.44,0.02,straight
3.38,0.06,straight
3.36,0.03,straight
3.33,0.09,straight
3.41,0.04,straight
3.41,0.07,straight
3.41,0.06,straight
3.42,0.07,straight
3.43,0.06,straight
3.41,0.02,straight
3.37,0.16,straight
3.45,-0.01,straight
3.38,-0.02,straight
3.47,-0.04,straight
3.34,-0.09,straight
3.43,-0.21,straight
3.52,-0.15,straight
3.56,-0.15,straight
3.67,-0.23,straight
3.73,-0.20,straight
3.69,-0.21,straight
3.78,-0.22,straight
3.67,-0.20,straight
3.51,-0.17,straight
3.58,-0.21,straight
3.65,-0.16,straight
3.61,-0.16,straight
3.71,-0.11,straight
3.79,-0.11,straight
3.69,-0.10,straight
3.74,-0.15,straight
3.63,-0.12,straight
3.73,-0.10,straight
3.73,-0.13,straight
3.69,-0.18,straight
3.59,-0.14,straight
3.64,-0.09,straight
3.63,-0.14,straight
3.56,-0.09,straight
3.74,-0.04,straight
3.59,-0.10,straight
3.49,-0.16,straight
3.48,-0.11,straight
3.55,-0.10,straight
3.57,-0.11,straight
3.57,-0.15,straight
3.51,-0.16,straight
3.57,-0.11,straight
3.63,-0.13,straight
3.60,-0.14,straight
3.62,-0.09,straight
3.56,-0.15,straight
3.61,-0.15,straight
3.60,-0.09,straight
3.53,-0.14,straight
3.51,-0.14,straight
3.45,-0.14,straight
3.47,-0.10,straight
3.48,-0.06,straight
3.41,-0.07,straight
3.41,-0.06,straight
3.41,-0.09,straight
3.36,-0.09,straight
3.43,-0.11,straight
3.39,-0.15,straight
3.45,-0.09,straight
3.46,-0.07,straight
3.28,-0.04,straight
3.30,-0.01,straight
3.16,-0.01,straight
3.07,0.00,straight
2.95,0.06,straight
2.83,-0.01,straight
2.81,-0.05,straight
2.72,-0.08,straight
2.72,-0.03,straight
2.66,-0.02,straight
2.58,-0.02,straight
2.59,-0.03,straight
2.54,0.00,straight
2.57,-0.05,straight
2.44,-0.02,straight
2.51,-0.09,straight
2.43,-0.09,straight
2.40,-0.07,straight
2.36,-0.05,straight
2.37,-0.09,straight
2.38,-0.10,straight
2.41,-0.10,straight
2.41,-0.06,straight
2.34,-0.03,straight
2.35,-0.06,straight
2.42,-0.06,straight
2.29,-0.10,straight
2.27,-0.11,straight
2.38,-0.08,straight
2.39,-0.06,straight
2.43,-0.07,straight
2.49,-0.08,straight
2.41,-0.05,straight
2.38,-0.06,straight
2.36,-0.04,straight
2.38,-0.09,straight
2.30,-0.04,straight
2.36,-0.02,straight
2.29,-0.06,straight
2.30,-0.03,straight
2.23,-0.07,straight
2.27,-0.06,straight
2.25,-0.06,straight
2.29,-0.07,straight
2.22,0.00,straight
2.18,-0.01,straight
2.13,0.06,straight
2.15,0.10,straight
2.13,0.08,straight
2.16,0.08,straight
2.04,0.06,straight
2.05,0.08,straight
2.03,0.03,straight
3.37,0.14,straight
3.28,0.13,straight
3.30,0.17,straight
3.28,0.17,straight
3.26,0.16,straight
3.29,0.17,straight
3.28,0.16,straight
3.32,0.12,straight
3.25,0.18,straight
3.26,0.19,straight
3.17,0.16,straight
3.28,0.15,straight
3.25,0.18,straight
3.28,0.12,straight
3.22,0.15,straight
3.15,0.15,straight
3.23,0.21,straight
3.25,0.20,straight
3.28,0.14,straight
3.32,0.16,straight
3.24,0.14,straight
3.23,0.16,straight
3.20,0.15,straight
3.16,0.18,straight
3.15,0.16,straight
3.15,0.15,straight
3.18,0.19,straight
3.05,0.13,straight
3.19,0.20,straight
3.14,0.17,straight
3.21,0.14,straight
3.22,0.16,straight
3.18,0.13,straight
3.21,0.12,straight
3.20,0.15,straight
3.23,0.17,straight
3.19,0.09,straight
3.06,0.15,straight
3.02,0.20,straight
2.72,-0.03,straight
2.55,-0.00,straight
2.57,-0.04,straight
2.69,-0.03,straight
2.80,-0.07,straight
2.79,-0.05,straight
2.80,-0.06,straight
2.82,-0.09,straight
2.72,-0.09,straight
2.77,-0.09,straight
2.85,-0.09,straight
2.72,-0.08,straight
2.82,-0.14,straight
2.92,-0.12,straight
2.96,-0.04,straight
2.92,-0.15,straight
2.93,-0.06,straight
2.92,-0.09,straight
2.91,-0.13,straight
2.90,-0.23,straight
2.87,-0.13,straight
2.94,-0.11,straight
2.93,-0.11,straight
2.97,-0.08,straight
3.00,-0.08,straight
2.83,-0.09,straight
2.77,-0.10,straight
2.77,-0.08,straight
2.79,-0.09,straight
2.69,-0.09,straight
2.64,-0.09,straight
2.72,-0.05,straight
2.79,-0.10,straight
2.72,-0.06,straight
2.66,-0.14,straight
2.68,-0.12,straight
2.61,-0.08,straight
2.71,-0.10,straight
2.57,-0.11,straight
2.63,-0.12,straight
2.69,-0.07,straight
2.68,-0.11,straight
2.72,-0.12,straight
2.63,-0.10,straight
2.70,-0.15,straight
2.67,-0.10,straight
2.69,-0.11,straight
2.61,-0.10,straight
2.63,-0.11,straight
2.56,-0.09,straight
2.65,-0.09,straight
2.69,-0.09,straight
2.61,-0.11,straight
2.69,-0.10,straight
2.68,-0.12,straight
2.58,-0.10,straight
2.63,-0.09,straight
2.51,-0.10,straight
2.54,-0.13,straight
2.55,-0.08,straight
2.58,-0.10,straight
2.60,-0.14,straight
2.55,-0.12,straight
2.56,-0.14,straight
2.61,-0.12,straight
2.56,-0.11,straight
2.42,-0.18,straight
2.29,-0.09,straight
2.22,-0.08,straight
2.12,-0.11,straight
2.13,-0.15,straight
2.17,-0.14,straight
2.19,-0.10,straight
2.15,-0.17,straight
2.17,-0.05,straight
2.14,-0.16,straight
2.17,-0.08,straight
2.13,-0.07,straight
2.17,-0.10,straight
2.19,-0.13,straight
2.19,-0.12,straight
2.19,-0.16,straight
2.19,-0.10,straight
2.16,-0.08,straight
2.24,-0.16,straight
2.19,-0.13,straight
2.21,-0.13,straight
2.35,-0.12,straight
2.26,-0.15,straight
2.29,-0.11,straight
2.29,-0.11,straight
2.41,-0.11,straight
2.30,-0.11,straight
2.31,-0.12,straight
2.31,-0.15,straight
2.12,-0.16,straight
2.13,-0.08,straight
1.89,-0.08,straight
1.73,-0.12,straight
1.70,-0.11,straight
1.61,-0.14,straight
1.65,-0.11,straight
1.61,-0.10,straight
1.61,-0.16,straight
1.61,-0.11,straight
1.60,-0.12,straight
1.65,-0.13,straight
1.61,-0.12,straight
1.58,-0.10,straight
1.54,-0.09,straight
2.56,-0.06,straight
2.72,-0.03,straight
2.80,-0.05,straight
2.77,-0.08,straight
2.77,-0.01,straight
2.77,-0.05,straight
2.70,-0.07,straight
2.70,0.00,straight
2.76,-0.05,straight
2.80,-0.06,straight
2.82,-0.02,straight
2.77,-0.04,straight
2.77,-0.07,straight
2.72,-0.06,straight
2.74,-0.06,straight
2.67,-0.02,straight
2.75,-0.01,straight
2.80,-0.04,straight
2.66,-0.05,straight
2.71,-0.01,straight
2.75,-0.01,straight
2.82,-0.08,straight
2.83,-0.06,straight
2.78,-0.01,straight
2.74,-0.05,straight
2.64,-0.05,straight
2.72,-0.05,straight
2.72,-0.03,straight
2.69,-0.05,straight
2.70,-0.03,straight
2.74,-0.03,straight
2.65,-0.02,straight
2.65,0.05,straight
2.72,-0.07,straight
2.80,-0.03,straight
2.88,-0.05,straight
2.83,-0.07,straight
2.71,-0.04,straight
2.76,-0.09,straight
2.69,-0.11,straight
2.75,-0.01,straight
2.86,-0.07,straight
2.70,-0.10,straight
2.60,-0.13,straight
2.58,-0.14,straight
2.39,-0.19,straight
2.34,-0.16,straight
2.38,-0.21,straight
2.31,-0.23,straight
2.28,-0.25,straight
2.26,-0.20,straight
2.33,-0.22,straight
2.23,-0.21,straight
2.20,-0.20,straight
2.26,-0.20,straight
2.23,-0.24,straight
2.28,-0.25,straight
2.26,-0.22,straight
2.28,-0.27,straight
2.30,-0.21,straight
2.22,-0.24,straight
2.30,-0.28,straight
2.15,-0.25,straight
2.21,-0.25,straight
2.23,-0.24,straight
2.26,-0.28,straight
2.22,-0.21,straight
2.18,-0.23,straight
2.14,-0.25,straight
2.09,-0.25,straight
2.06,-0.25,straight
2.08,-0.29,straight
2.00,-0.32,straight
1.93,-0.24,straight
1.92,-0.11,straight
1.98,0.00,straight
1.94,-0.08,straight
1.93,-0.15,straight
1.91,-0.04,straight
1.79,0.09,straight
1.72,0.03,straight
1.72,-0.00,straight
1.71,0.16,straight
1.76,0.08,straight
1.77,0.18,straight
1.77,0.16,straight
1.80,0.16,straight
1.73,0.16,straight
1.72,0.18,straight
1.72,0.19,straight
1.65,0.19,straight
1.67,0.18,straight
1.61,0.21,straight
1.64,0.17,straight
1.64,0.18,straight
1.69,0.14,straight
1.72,0.16,straight
1.77,0.16,straight
1.72,0.17,straight
1.76,0.22,straight
1.70,0.21,straight
1.71,0.19,straight
1.69,0.19,straight
1.72,0.20,straight
1.73,0.18,straight
1.76,0.21,straight
1.68,0.24,straight
1.70,0.23,straight
1.74,0.25,straight
1.75,0.21,straight
1.73,0.27,straight
1.69,0.27,straight
1.73,0.22,straight
1.71,0.31,straight
1.70,0.24,straight
1.65,0.26,straight
1.67,0.27,straight
1.64,0.25,straight
1.64,0.24,straight
1.76,0.27,straight
1.68,0.25,straight
1.72,0.28,straight
1.77,0.28,straight
1.88,0.32,straight
1.74,0.33,straight
1.76,0.24,straight
1.81,0.28,straight
1.75,0.24,straight
2.08,0.26,straight
2.02,0.26,straight
2.09,0.30,straight
2.05,0.22,straight
2.02,0.18,straight
2.02,0.15,straight
1.98,0.27,straight
2.00,0.24,straight
2.04,0.22,straight
2.01,0.21,straight
1.96,0.21,straight
1.85,0.18,straight
1.87,0.20,straight
1.82,0.22,straight
1.73,0.21,straight
1.84,0.18,straight
1.71,0.17,straight
1.67,0.15,straight
1.59,0.19,straight
1.61,0.25,straight
1.61,0.24,straight
1.68,0.26,straight
1.63,0.19,straight
1.56,0.20,straight
2.55,0.75,straight
2.55,0.72,straight
2.54,0.81,straight
2.56,0.74,straight
2.59,0.78,straight
2.66,0.92,straight
2.63,0.89,straight
2.59,0.85,straight
2.65,0.92,straight
2.56,0.90,straight
2.60,0.87,straight
2.57,0.86,straight
2.52,0.89,straight
2.56,0.88,straight
2.52,0.84,straight
2.50,0.85,straight
2.46,0.82,straight
2.47,0.87,straight
2.41,0.89,straight
2.44,0.86,straight
2.54,0.83,straight
2.57,0.86,straight
2.56,0.89,straight
2.52,0.81,straight
2.50,0.85,straight
2.47,0.85,straight
2.42,0.91,straight
2.44,0.88,straight
2.37,0.88,straight
2.47,0.86,straight
2.46,0.86,straight
2.36,0.87,straight
2.42,0.89,straight
2.41,0.85,straight
2.51,0.88,straight
2.51,0.84,straight
2.44,0.83,straight
2.48,0.79,straight
2.38,0.92,straight
2.35,0.84,straight
2.38,0.78,straight
2.33,0.73,straight
2.30,0.78,straight
2.10,0.88,straight
2.02,0.82,straight
2.08,0.75,straight
2.07,0.65,straight
1.96,0.74,straight
1.64,0.58,straight
1.52,0.57,straight
1.48,0.60,straight
1.30,0.68,straight
1.26,0.62,straight
1.27,0.63,straight
1.16,0.66,straight
1.22,0.68,straight
1.21,0.70,straight
1.07,0.74,straight
0.98,0.62,straight
0.90,0.82,straight
0.90,0.79,straight
0.86,0.78,straight
0.88,0.84,straight
0.89,0.80,straight
0.87,0.86,straight
0.80,0.83,straight
0.75,0.93,straight
0.76,0.89,straight
0.72,0.91,straight
0.67,0.94,straight
0.73,0.96,straight
0.72,0.97,straight
0.70,0.97,straight
0.68,0.97,straight
0.71,0.95,straight
0.70,0.99,straight
0.68,0.97,straight
0.72,0.95,straight
0.66,1.00,straight
0.74,0.99,straight
0.71,1.00,straight
0.72,1.02,straight
0.75,1.01,straight
0.71,1.01,straight
0.69,0.96,straight
0.73,0.98,straight
0.80,1.00,straight
0.79,0.98,straight
0.84,0.95,straight
0.79,1.00,straight
0.80,0.99,straight
0.85,0.99,straight
0.83,0.96,straight
0.88,0.92,straight
0.81,0.93,straight
0.73,0.94,straight
0.70,0.88,straight
0.76,0.85,straight
0.73,0.82,straight
0.71,0.78,straight
0.67,0.76,straight
0.81,0.76,straight
0.70,0.74,straight
0.67,0.74,straight
0.57,0.78,straight
0.62,0.82,straight
0.64,0.83,straight
0.61,0.81,straight
0.61,0.80,straight
0.56,0.78,straight
0.59,0.80,straight
0.52,0.83,straight
0.56,0.81,straight
0.58,0.77,straight
0.52,0.79,straight
0.58,0.80,straight
0.58,0.80,straight
0.58,0.82,straight
0.63,0.79,straight
0.58,0.83,straight
0.55,0.83,straight
0.56,0.82,straight
0.52,0.85,straight
0.50,0.79,straight
0.50,0.81,straight
0.51,0.79,straight
0.53,0.80,straight
0.53,0.82,straight
0.52,0.79,straight
0.59,0.80,straight
0.59,0.81,straight
0.54,0.78,straight
0.52,0.80,straight
0.55,0.79,straight
0.53,0.79,straight
0.53,0.81,straight
0.56,0.82,straight
0.53,0.80,straight
0.61,0.80,straight
0.64,0.79,straight
0.68,0.79,straight
0.69,0.82,straight
0.64,0.82,straight
0.59,0.80,straight
0.57,0.76,straight
0.61,0.80,straight
0.62,0.83,straight
0.66,0.75,straight
0.62,0.79,straight
0.64,0.81,straight
0.62,0.75,straight
0.65,0.80,straight
2.14,0.92,straight
2.14,0.84,straight
2.09,0.84,straight
2.09,0.84,straight
2.06,0.86,straight
2.10,0.84,straight
2.01,0.82,straight
2.05,0.91,straight
2.08,0.84,straight
2.00,0.92,straight
2.09,0.94,straight
2.05,0.90,straight
2.09,0.84,straight
2.21,0.84,straight
2.11,0.86,straight
2.05,0.84,straight
2.12,0.83,straight
2.04,0.81,straight
2.08,0.85,straight
2.07,0.85,straight
2.15,0.85,straight
2.06,0.84,straight
2.07,0.83,straight
2.04,0.88,straight
1.98,0.87,straight
2.06,0.92,straight
2.18,0.84,straight
2.15,0.85,straight
2.18,0.81,straight
2.15,0.84,straight
2.14,0.78,straight
2.29,0.87,straight
2.15,0.94,straight
1.87,0.82,straight
1.75,0.74,straight
1.81,0.92,straight
1.77,0.86,straight
1.57,0.77,straight
1.33,0.93,straight
1.35,0.77,straight
1.13,0.69,straight
0.89,0.84,straight
0.64,0.87,straight
0.60,0.79,straight
0.50,0.81,straight
0.36,0.66,straight
0.43,0.73,straight
0.27,0.79,straight
0.37,0.72,straight
0.36,0.67,straight
0.29,0.69,straight
0.31,0.66,straight
0.28,0.62,straight
0.29,0.71,straight
0.29,0.68,straight
0.25,0.67,straight
0.27,0.65,straight
0.32,0.72,straight
0.30,0.74,straight
0.24,0.70,straight
0.24,0.67,straight
0.25,0.65,straight
0.26,0.69,straight
0.26,0.68,straight
0.31,0.67,straight
0.29,0.69,straight
0.29,0.67,straight
0.28,0.68,straight
0.29,0.71,straight
0.34,0.70,straight
0.37,0.65,straight
0.42,0.67,straight
0.37,0.69,straight
0.40,0.66,straight
0.33,0.69,straight
0.30,0.66,straight
0.34,0.65,straight
0.32,0.67,straight
0.28,0.67,straight
0.38,0.67,straight
0.32,0.69,straight
0.36,0.68,straight
0.33,0.66,straight
0.30,0.68,straight
0.34,0.62,straight
0.33,0.70,straight
0.37,0.64,straight
0.41,0.63,straight
0.39,0.69,straight
0.38,0.65,straight
0.40,0.68,straight
0.36,0.66,straight
0.36,0.67,straight
0.34,0.66,straight
0.35,0.66,straight
0.31,0.68,straight
0.40,0.65,straight
0.36,0.68,straight
0.40,0.65,straight
0.40,0.64,straight
0.42,0.68,straight
0.41,0.65,straight
0.40,0.63,straight
0.43,0.59,straight
0.43,0.65,straight
0.40,0.65,straight
0.39,0.67,straight
0.35,0.65,straight
0.37,0.66,straight
0.43,0.66,straight
0.40,0.67,straight
0.41,0.64,straight
0.49,0.64,straight
0.45,0.66,straight
0.47,0.63,straight
0.44,0.59,straight
0.45,0.62,straight
0.49,0.67,straight
0.45,0.62,straight
0.47,0.65,straight
0.42,0.63,straight
0.52,0.66,straight
0.50,0.67,straight
0.47,0.62,straight
0.52,0.61,straight
0.52,0.63,straight
0.52,0.60,straight
0.56,0.64,straight
0.47,0.64,straight
0.54,0.62,straight
0.56,0.62,straight
0.53,0.61,straight
0.45,0.61,straight
0.49,0.59,straight
0.56,0.61,straight
0.54,0.64,straight
0.52,0.64,straight
0.48,0.61,straight
0.56,0.60,straight
0.53,0.60,straight
0.50,0.61,straight
0.55,0.58,straight
0.53,0.64,straight
0.55,0.61,straight
2.07,0.64,straight
2.09,0.71,straight
2.05,0.69,straight
2.14,0.73,straight
2.19,0.73,straight
2.13,0.69,straight
2.08,0.68,straight
2.02,0.74,straight
2.06,0.71,straight
2.02,0.74,straight
2.05,0.74,straight
2.01,0.74,straight
2.02,0.80,straight
2.10,0.75,straight
2.09,0.74,straight
2.12,0.75,straight
2.10,0.72,straight
2.06,0.75,straight
1.97,0.72,straight
2.04,0.74,straight
1.98,0.77,straight
2.03,0.75,straight
2.07,0.70,straight
2.06,0.74,straight
2.13,0.70,straight
2.03,0.80,straight
1.99,0.74,straight
2.14,0.70,straight
2.17,0.76,straight
2.11,0.65,straight
2.02,0.72,straight
2.05,0.72,straight
1.87,0.73,straight
1.98,0.68,straight
1.92,0.75,straight
2.01,0.62,straight
2.03,0.68,straight
1.77,0.82,straight
1.53,0.73,straight
1.63,0.68,straight
1.58,0.60,straight
1.70,0.73,straight
1.61,0.62,straight
1.33,0.59,straight
1.36,0.72,straight
1.39,0.68,straight
1.41,0.63,straight
1.36,0.71,straight
1.18,0.67,straight
1.15,0.62,straight
1.10,0.67,straight
1.08,0.68,straight
1.05,0.68,straight
1.07,0.66,straight
1.08,0.62,straight
1.03,0.59,straight
0.96,0.61,straight
1.00,0.61,straight
0.93,0.64,straight
0.91,0.60,straight
0.95,0.59,straight
0.95,0.57,straight
0.95,0.60,straight
0.96,0.61,straight
0.99,0.61,straight
0.99,0.53,straight
1.00,0.58,straight
1.05,0.56,straight
1.07,0.56,straight
1.06,0.55,straight
1.07,0.53,straight
1.03,0.53,straight
1.03,0.56,straight
1.05,0.51,straight
1.02,0.57,straight
1.05,0.50,straight
1.07,0.54,straight
1.06,0.54,straight
1.08,0.61,straight
1.05,0.54,straight
1.07,0.53,straight
1.02,0.54,straight
1.04,0.55,straight
1.07,0.57,straight
1.00,0.51,straight
1.01,0.53,straight
1.04,0.53,straight
1.08,0.53,straight
1.09,0.51,straight
1.13,0.54,straight
1.10,0.51,straight
1.07,0.54,straight
1.13,0.50,straight
1.09,0.52,straight
1.14,0.50,straight
1.13,0.51,straight
1.15,0.54,straight
1.13,0.54,straight
1.15,0.52,straight
1.15,0.51,straight
1.13,0.52,straight
1.20,0.50,straight
1.12,0.50,straight
1.16,0.50,straight
1.16,0.49,straight
1.16,0.47,straight
1.14,0.52,straight
1.15,0.49,straight
1.19,0.51,straight
1.15,0.51,straight
1.19,0.52,straight
1.10,0.48,straight
1.17,0.48,straight
1.18,0.50,straight
1.12,0.51,straight
1.18,0.46,straight
1.18,0.52,straight
1.19,0.47,straight
1.15,0.51,straight
1.18,0.51,straight
1.16,0.51,straight
1.19,0.50,straight
1.15,0.51,straight
1.14,0.51,straight
1.18,0.46,straight
1.17,0.51,straight
1.20,0.49,straight
1.16,0.50,straight
1.19,0.49,straight
1.14,0.49,straight
1.14,0.50,straight
1.15,0.47,straight
1.13,0.48,straight
1.14,0.50,straight
1.17,0.47,straight
1.15,0.50,straight
1.22,0.50,straight
1.23,0.51,straight
1.15,0.42,straight
1.16,0.37,straight
1.36,0.50,straight
1.53,0.48,straight
1.61,0.50,straight
1.66,0.51,straight
1.61,0.42,straight
2.60,0.46,straight
2.89,0.54,straight
2.56,0.65,straight
2.64,0.51,straight
2.67,0.56,straight
2.66,0.60,straight
2.75,0.56,straight
2.73,0.58,straight
2.71,0.49,straight
2.67,0.49,straight
2.61,0.52,straight
2.68,0.56,straight
2.69,0.57,straight
2.63,0.53,straight
2.64,0.54,straight
2.60,0.61,straight
2.68,0.48,straight
2.72,0.52,straight
2.61,0.53,straight
2.60,0.50,straight
2.51,0.47,straight
2.56,0.52,straight
2.52,0.52,straight
2.61,0.52,straight
2.59,0.57,straight
2.59,0.51,straight
2.59,0.59,straight
2.58,0.57,straight
2.70,0.51,straight
2.71,0.54,straight
2.70,0.48,straight
2.64,0.38,straight
2.54,0.40,straight
2.67,0.41,straight
2.67,0.40,straight
2.62,0.45,straight
2.55,0.27,straight
2.63,0.31,straight
2.34,0.24,straight
2.35,0.22,straight
2.32,0.23,straight
2.35,0.29,straight
2.24,0.32,straight
2.14,0.33,straight
2.21,0.29,straight
2.04,0.27,straight
1.96,0.27,straight
1.86,0.29,straight
1.92,0.26,straight
1.80,0.28,straight
1.81,0.28,straight
1.71,0.28,straight
1.64,0.29,straight
1.66,0.28,straight
1.63,0.27,straight
1.63,0.31,straight
1.66,0.24,straight
1.64,0.28,straight
1.63,0.24,straight
1.58,0.25,straight
1.56,0.25,straight
1.64,0.22,straight
1.61,0.24,straight
1.59,0.21,straight
1.66,0.24,straight
1.58,0.26,straight
1.58,0.22,straight
1.56,0.25,straight
1.55,0.24,straight
1.55,0.30,straight
1.50,0.31,straight
1.43,0.29,straight
1.41,0.28,straight
1.40,0.28,straight
1.38,0.30,straight
1.38,0.29,straight
1.34,0.31,straight
1.35,0.29,straight
1.31,0.30,straight
1.32,0.27,straight
1.31,0.29,straight
1.32,0.25,straight
1.27,0.26,straight
1.26,0.28,straight
1.29,0.25,straight
1.25,0.27,straight
1.29,0.28,straight
1.24,0.27,straight
1.23,0.28,straight
1.24,0.29,straight
1.24,0.27,straight
1.25,0.24,straight
1.21,0.20,straight
1.24,0.23,straight
1.27,0.30,straight
1.29,0.26,straight
1.22,0.25,straight
1.20,0.25,straight
1.18,0.27,straight
1.24,0.26,straight
1.22,0.25,straight
1.19,0.29,straight
1.23,0.26,straight
1.20,0.23,straight
1.24,0.25,straight
1.21,0.20,straight
1.24,0.22,straight
1.23,0.22,straight
1.24,0.19,straight
1.21,0.21,straight
1.16,0.23,straight
1.10,0.23,straight
1.10,0.23,straight
1.08,0.26,straight
1.07,0.23,straight
1.12,0.21,straight
1.10,0.24,straight
1.16,0.22,straight
1.12,0.26,straight
1.09,0.22,straight
1.13,0.19,straight
1.11,0.21,straight
1.10,0.23,straight
1.13,0.23,straight
1.14,0.22,straight
1.13,0.23,straight
1.14,0.22,straight
1.11,0.20,straight
1.12,0.20,straight
1.13,0.18,straight
1.13,0.22,straight
1.12,0.21,straight
1.15,0.20,straight
1.10,0.22,straight
1.16,0.22,straight
1.12,0.24,straight
1.14,0.23,straight
1.12,0.21,straight
1.14,0.21,straight
1.15,0.18,straight
1.14,0.20,straight
1.15,0.20,straight
1.10,0.21,straight
1.14,0.21,straight
1.16,0.19,straight
1.13,0.20,straight
2.02,0.23,straight
